turgor	constant	0.495
expgro	constant	2.5
growthbysub	constant	1.0
cwt	pearson	0.0362	0.591	16.81	0.5
Set	R	X	s	Phi	Kappa_s	Kappa_t	Nu
Ectocarpus	-3.09939987978	25.0151262713	-4.99731787645	1.41465239945	0.105955871534	0.318717920588	0.33377798252
Ectocarpus	-3.06362576681	25.2247443859	-4.78466900828	1.3888708007	0.121240235022	0.321023916716	0.311166351307
Ectocarpus	-3.02226657671	25.4321247732	-4.57320457242	1.35901476885	0.141187012048	0.323485025098	0.281771950641
Ectocarpus	-2.97687086264	25.6280034934	-4.37213432629	1.3271102775	0.158673359011	0.325998418896	0.256634772113
Ectocarpus	-2.92962137051	25.8058706605	-4.18809834165	1.29518608434	0.173467125047	0.328458591493	0.235937604405
Ectocarpus	-2.87780076581	25.9776678278	-4.00865575537	1.26048829078	0.193364319359	0.33089141089	0.207813027182
Ectocarpus	-2.81685787725	26.1555601825	-3.82061393681	1.22100038847	0.209995322384	0.333507300164	0.185171325664
Ectocarpus	-2.7396483797	26.352648442	-3.60894181171	1.17384247541	0.222787544804	0.336628215459	0.169089614932
Ectocarpus	-2.65410390032	26.5433285816	-3.39995192297	1.12432515043	0.236936462707	0.339842162648	0.151402196742
Ectocarpus	-2.55748476893	26.7320629298	-3.18792383347	1.07097251822	0.251630019123	0.343175853713	0.13338035529
Ectocarpus	-2.46069385426	26.8989718951	-2.9949806194	1.01959857262	0.266264589009	0.346202295098	0.115449416743
Ectocarpus	-2.35467582147	27.0615577371	-2.80088275934	0.966330129395	0.274441166991	0.349434762784	0.107307005169
Ectocarpus	-2.24192958822	27.215517895	-2.61005445082	0.911099218968	0.289427238827	0.352454380237	0.0894117720538
Ectocarpus	-2.11234769578	27.3725168995	-2.4064859015	0.850455961164	0.297900918423	0.355803760536	0.0813690698844
Ectocarpus	-1.96452216668	27.5300044308	-2.19048888867	0.783611675661	0.309468564523	0.359294706803	0.0693388203852
Ectocarpus	-1.81443178498	27.6699455767	-1.98528009982	0.717226077387	0.323502704966	0.362260346357	0.053494181438
Ectocarpus	-1.67050684052	27.7878294387	-1.79923979624	0.655290367477	0.332915549582	0.364793174258	0.0436927373175
Ectocarpus	-1.52324970509	27.8938371792	-1.61779474951	0.592600118198	0.345505432138	0.36666324761	0.0288518355873
Ectocarpus	-1.35363608654	27.9995518239	-1.41793388368	0.522104790371	0.352722017556	0.368419265918	0.0213035118064
Ectocarpus	-1.16536910543	28.0985511472	-1.20522440532	0.446114196845	0.357250622359	0.370237461114	0.0175385261069
Ectocarpus	-0.97968635731	28.179155413	-1.00280125788	0.372986451071	0.361261776121	0.371953903925	0.0143729205293
Ectocarpus	-0.781792355286	28.2479699248	-0.793284019769	0.296323272325	0.36590392007	0.373508007626	0.0101792831765
Ectocarpus	-0.606424373333	28.2951885789	-0.611670335289	0.229710825407	0.366780989598	0.375472959922	0.0115746954537
Ectocarpus	-0.438954056401	28.3287927577	-0.440861822943	0.166344600263	0.370978145495	0.377211505569	0.00826242039517
Ectocarpus	-0.220334519403	28.3562376991	-0.220526336101	0.0834237010166	0.376339283492	0.378183909513	0.00243879495516
Ectocarpus	0.0	28.3654335935	0.0	0.0	0.378293597452	0.378293597452	0.0
Ectocarpus	0.220334519403	28.3562376991	0.220526336101	-0.0834237010166	0.376339283492	0.378183909513	0.00243879495516
Ectocarpus	0.438954056401	28.3287927577	0.440861822943	-0.166344600263	0.370978145495	0.377211505569	0.00826242039517
Ectocarpus	0.606424373333	28.2951885789	0.611670335289	-0.229710825407	0.366780989598	0.375472959922	0.0115746954537
Ectocarpus	0.781792355286	28.2479699248	0.793284019769	-0.296323272325	0.36590392007	0.373508007626	0.0101792831765
Ectocarpus	0.97968635731	28.179155413	1.00280125788	-0.372986451071	0.361261776121	0.371953903925	0.0143729205293
Ectocarpus	1.16536910543	28.0985511472	1.20522440532	-0.446114196845	0.357250622359	0.370237461114	0.0175385261069
Ectocarpus	1.35363608654	27.9995518239	1.41793388368	-0.522104790371	0.352722017556	0.368419265918	0.0213035118064
Ectocarpus	1.52324970509	27.8938371792	1.61779474951	-0.592600118198	0.345505432138	0.36666324761	0.0288518355873
Ectocarpus	1.67050684052	27.7878294387	1.79923979624	-0.655290367477	0.332915549582	0.364793174258	0.0436927373175
Ectocarpus	1.81443178498	27.6699455767	1.98528009982	-0.717226077387	0.323502704966	0.362260346357	0.053494181438
Ectocarpus	1.96452216668	27.5300044308	2.19048888867	-0.783611675661	0.309468564523	0.359294706803	0.0693388203852
Ectocarpus	2.11234769578	27.3725168995	2.4064859015	-0.850455961164	0.297900918423	0.355803760536	0.0813690698844
Ectocarpus	2.24192958822	27.215517895	2.61005445082	-0.911099218968	0.289427238827	0.352454380237	0.0894117720538
Ectocarpus	2.35467582147	27.0615577371	2.80088275934	-0.966330129395	0.274441166991	0.349434762784	0.107307005169
Ectocarpus	2.46069385426	26.8989718951	2.9949806194	-1.01959857262	0.266264589009	0.346202295098	0.115449416743
Ectocarpus	2.55748476893	26.7320629298	3.18792383347	-1.07097251822	0.251630019123	0.343175853713	0.13338035529
